,SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,Unnamed: 13
2101,SHREERAMA,BE,30.25,31.2,30.25,31.2,31.2,30.6,38924,1205441.8,24-NOV-2023,76,INE879A01019,
2102,SHRENIK,EQ,1.0,1.1,0.95,1.05,1.05,1.0,5105954,5277015.55,24-NOV-2023,1003,INE632X01030,
2103,SHREYANIND,BE,244.6,244.6,241.1,242.8,242.8,245.05,4545,1106844.1,24-NOV-2023,49,INE231C01019,
2104,SHREYAS,EQ,300.95,302.0,295.05,297.75,299.5,300.2,42244,12624452.25,24-NOV-2023,2272,INE757B01015,
2105,SHRIPISTON,EQ,1151.35,1151.35,1086.0,1096.05,1099.0,1128.75,137345,151060222.8,24-NOV-2023,3682,INE526E01018,
2106,SHRIRAMFIN,EQ,1974.85,1980.0,1941.1,1947.5,1941.35,1974.85,475859,932662433.8,24-NOV-2023,27917,INE721A01013,
2107,SHRIRAMFIN,YL,1066.0,1066.0,1066.0,1066.0,1066.0,1063.9,11,11726.0,24-NOV-2023,2,INE721A07NX5,
2108,SHRIRAMFIN,YP,1026.0,1026.0,1025.0,1025.0,1025.0,1023.38,51,52295.0,24-NOV-2023,3,INE721A07OC7,
2109,SHRIRAMFIN,YS,1065.0,1065.0,1056.0,1056.0,1056.0,1044.0,331,352036.0,24-NOV-2023,7,INE721A07OF0,
2110,SHRIRAMFIN,YV,1001.0,1001.0,1001.0,1001.0,1001.0,993.0,42,42042.0,24-NOV-2023,1,INE721A07OM6,
2111,SHRIRAMFIN,YW,1080.0,1084.0,1080.0,1084.0,1084.0,1040.0,25,27068.0,24-NOV-2023,2,INE721A07ON4,
2112,SHRIRAMFIN,YY,1072.0,1072.0,1072.0,1072.0,1072.0,1070.0,25,26800.0,24-NOV-2023,2,INE721A07OP9,
2113,SHRIRAMFIN,Z2,1538.0,1545.0,1538.0,1545.0,1545.0,1538.0,56,86170.0,24-NOV-2023,2,INE721A07OS3,
2114,SHRIRAMFIN,Z4,1019.0,1019.0,1019.0,1019.0,1019.0,992.01,6,6114.0,24-NOV-2023,1,INE721A07OZ8,
2115,SHRIRAMFIN,Z5,1026.0,1026.0,1026.0,1026.0,1026.0,1010.3,4,4104.0,24-NOV-2023,2,INE721A07PA8,
2116,SHRIRAMFIN,Z9,1036.0,1036.0,1036.0,1036.0,1036.0,1039.95,39,40404.0,24-NOV-2023,1,INE721A07PE0,
2117,SHRIRAMFIN,ZC,1504.0,1504.0,1501.0,1501.0,1501.0,1309.0,42,63093.0,24-NOV-2023,2,INE721A07PH3,
2118,SHRIRAMFIN,ZF,1022.0,1022.0,1010.0,1010.0,1010.0,1011.0,28,28316.0,24-NOV-2023,4,INE721A07PK7,
2119,SHRIRAMFIN,ZH,1069.0,1069.0,1068.8,1069.0,1069.0,1069.0,115,122925.0,24-NOV-2023,5,INE721A07PM3,
2120,SHRIRAMPPS,EQ,108.25,112.05,105.6,106.2,107.0,107.55,3780654,409801615.1,24-NOV-2023,15109,INE217L01019,
2121,SHRITECH,SM,81.95,81.95,80.8,80.95,80.95,81.5,34000,2759700.0,24-NOV-2023,17,INE0OMF01015,
2122,SHYAMCENT,EQ,21.9,22.1,21.3,21.4,21.5,21.7,456653,9841709.85,24-NOV-2023,2045,INE979R01011,
2123,SHYAMMETL,EQ,444.45,452.0,441.6,448.05,447.95,444.0,320435,142921081.45,24-NOV-2023,7070,INE810G01011,
2124,SHYAMTEL,EQ,8.05,8.25,8.05,8.25,8.25,8.45,975,8013.75,24-NOV-2023,3,INE635A01023,
2125,SICALLOG,BE,285.4,285.4,285.4,285.4,285.4,279.85,10806,3084032.4,24-NOV-2023,115,INE075B01020,
2126,SIEMENS,EQ,3640.0,3641.85,3605.05,3628.6,3618.0,3619.2,230400,835164539.4,24-NOV-2023,24893,INE003A01024,
2127,SIGACHI,EQ,55.4,55.9,51.5,53.35,53.25,55.4,2110125,113807167.9,24-NOV-2023,7902,INE0D0K01022,
2128,SIGIND,BE,64.95,64.95,62.75,64.15,64.25,62.5,12433,793452.0,24-NOV-2023,92,INE529F01035,
2129,SIGMA,EQ,459.7,465.35,447.65,460.75,460.0,459.7,18009,8227598.1,24-NOV-2023,1085,INE0A0S01010,
2130,SIGNATURE,EQ,755.0,757.9,747.5,749.7,751.4,754.2,203389,153013036.35,24-NOV-2023,5062,INE903U01023,
2131,SIKKO,EQ,65.0,65.0,64.0,64.1,64.15,64.1,11007,707176.4,24-NOV-2023,300,INE112X01017,
2132,SIL,BE,21.6,22.0,21.6,21.95,21.95,21.95,17379,380308.15,24-NOV-2023,253,INE173A01025,
2133,SILGO,EQ,24.55,25.0,24.0,24.2,24.0,24.85,56666,1395069.5,24-NOV-2023,798,INE01II01013,
2134,SILINV,EQ,423.05,439.35,415.5,428.85,425.4,414.8,19543,8400620.7,24-NOV-2023,1804,INE923A01015,
2135,SILLYMONKS,EQ,16.3,16.3,15.5,15.6,15.6,15.8,8276,130131.7,24-NOV-2023,66,INE203Y01012,
2136,SILVER,EQ,74.52,74.59,74.0,74.38,74.34,74.53,231102,17184876.41,24-NOV-2023,233,INF209KB19F6,
2137,SILVERBEES,EQ,71.9,72.06,71.67,71.87,71.93,71.9,1004510,72152829.43,24-NOV-2023,3347,INF204KC1402,
2138,SILVERETF,EQ,73.39,73.58,72.21,72.8,72.85,73.0,36837,2688598.08,24-NOV-2023,214,INF789F1AYK6,
2139,SILVERTUC,EQ,645.2,658.85,634.75,645.6,647.85,655.05,7018,4550191.25,24-NOV-2023,701,INE625X01018,
2140,SILVRETF,EQ,72.78,73.25,72.69,73.09,73.09,72.64,19018,1385013.31,24-NOV-2023,29,INF769K01KG6,
2141,SIMBHALS,EQ,30.4,30.5,29.8,30.05,30.5,30.3,55304,1659612.3,24-NOV-2023,328,INE748T01016,
2142,SIMPLEXINF,BE,79.8,79.8,79.8,79.8,79.8,78.25,15243,1216391.4,24-NOV-2023,35,INE059B01024,
2143,SINDHUTRAD,EQ,28.5,29.4,28.0,29.15,29.35,28.0,3349481,97368608.8,24-NOV-2023,1619,INE325D01025,
2144,SINTERCOM,EQ,129.85,129.95,128.0,128.0,128.0,129.45,5523,708737.5,24-NOV-2023,45,INE129Z01016,
2145,SIRCA,EQ,374.2,374.2,369.0,370.1,370.5,372.3,55253,20501791.15,24-NOV-2023,4230,INE792Z01011,
2146,SIS,EQ,438.0,464.0,437.95,458.95,455.25,438.35,129299,58839067.8,24-NOV-2023,8455,INE285J01028,
2147,SITINET,BE,0.8,0.8,0.75,0.75,0.8,0.75,1453328,1135064.65,24-NOV-2023,386,INE965H01011,
2148,SIYSIL,EQ,556.55,562.0,548.0,552.6,552.0,556.55,71491,39552231.25,24-NOV-2023,10634,INE076B01028,
2149,SJS,EQ,622.05,622.7,605.0,614.15,613.0,618.3,82678,50951444.95,24-NOV-2023,6136,INE284S01014,
2150,SJVN,EQ,81.3,84.9,80.2,82.3,82.1,81.25,55902988,4646165851.65,24-NOV-2023,95839,INE002L01015,
2151,SKFINDIA,EQ,4706.1,4706.1,4590.0,4602.15,4597.0,4694.25,14304,66096126.6,24-NOV-2023,4806,INE640A01023,
2152,SKIPPER,EQ,257.7,264.65,254.35,256.95,257.0,256.0,286200,74045782.15,24-NOV-2023,11176,INE439E01022,
2153,SKMEGGPROD,EQ,428.4,429.9,410.0,415.35,412.5,421.3,133147,55644713.45,24-NOV-2023,5661,INE411D01015,
2154,SKP,SM,215.5,217.95,211.05,211.05,211.05,212.0,19500,4197925.0,24-NOV-2023,34,INE0KZA01016,
2155,SKYGOLD,EQ,857.95,899.85,856.6,897.4,899.85,857.0,65398,57748391.1,24-NOV-2023,2731,INE01IU01018,
2156,SMARTLINK,EQ,170.0,172.4,167.05,169.15,170.2,167.65,8768,1492004.4,24-NOV-2023,396,INE178C01020,
2157,SMCGLOBAL,EQ,102.7,103.4,101.3,101.9,102.0,102.65,150264,15357017.0,24-NOV-2023,2327,INE103C01036,
2158,SMLISUZU,EQ,1529.35,1549.95,1508.75,1522.9,1524.0,1529.35,28691,43735698.9,24-NOV-2023,4149,INE294B01019,
2159,SMLT,EQ,222.6,242.55,216.45,228.05,229.4,222.6,76312,17945684.0,24-NOV-2023,2513,INE017W01010,
2160,SMSLIFE,EQ,520.2,523.95,506.0,517.9,516.0,510.25,4295,2208841.1,24-NOV-2023,159,INE320X01016,
2161,SMSPHARMA,EQ,119.75,127.5,119.6,122.55,123.0,119.6,477175,59414257.3,24-NOV-2023,5494,INE812G01025,
2162,SMVD,SM,10.55,10.55,10.55,10.55,10.55,10.05,16160,170488.0,24-NOV-2023,4,INE702Y01013,
2163,SNOWMAN,EQ,59.45,61.0,58.4,59.4,59.6,59.35,7037883,420050567.45,24-NOV-2023,22597,INE734N01019,
2164,SOBHA,EQ,891.0,904.95,884.0,896.05,892.85,890.25,346497,309578474.45,24-NOV-2023,13053,INE671H01015,
2165,SOFTTECH,BE,229.8,232.0,223.0,224.85,225.0,224.45,3637,827782.1,24-NOV-2023,111,INE728Z01015,
2166,SOLARA,EQ,336.1,344.05,334.1,335.25,335.5,334.45,92906,31483211.95,24-NOV-2023,6971,INE624Z01016,
2167,SOLARINDS,EQ,6764.0,6850.0,6661.0,6786.4,6775.0,6746.35,112024,758196363.35,24-NOV-2023,22775,INE343H01029,
2168,SOLEX,SM,484.2,484.2,463.0,466.2,463.0,478.0,7800,3667340.0,24-NOV-2023,34,INE880Y01017,
2169,SOMANYCERA,EQ,664.95,664.95,656.0,657.8,660.0,657.85,51658,34034296.95,24-NOV-2023,5271,INE355A01028,
2170,SOMATEX,BE,20.35,20.35,19.4,19.9,19.95,19.6,21729,430080.2,24-NOV-2023,110,INE314C01013,
2171,SOMICONVEY,BE,94.0,95.2,91.6,92.1,92.0,95.2,16011,1483150.7,24-NOV-2023,165,INE323J01019,
2172,SONACOMS,EQ,575.9,577.7,566.95,568.15,568.8,575.75,986656,564302761.2,24-NOV-2023,27382,INE073K01018,
2173,SONAMLTD,BE,79.0,79.95,79.0,79.5,79.7,78.2,1558,123761.55,24-NOV-2023,16,INE00LM01011,
2174,SONATSOFTW,EQ,1299.45,1313.0,1281.95,1293.6,1294.85,1299.45,185921,240032575.2,24-NOV-2023,17191,INE269A01021,
2175,SONUINFRA,SM,62.0,62.15,62.0,62.15,62.15,61.05,9000,558600.0,24-NOV-2023,3,INE0JZA01018,
2176,SOTAC,SM,130.5,130.5,130.5,130.5,130.5,132.0,1200,156600.0,24-NOV-2023,1,INE0O2D01012,
2177,SOTL,EQ,326.5,329.05,325.3,327.85,328.0,326.05,30672,10027118.95,24-NOV-2023,1638,INE035D01020,
2178,SOUTHBANK,EQ,24.45,24.75,24.3,24.45,24.55,24.45,12513240,306555932.85,24-NOV-2023,19122,INE683A01023,
